               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.099259,             0.19701,            0.016673,             0.14595,             0.54222,             0.25742,             0.23682,            0.088476,            0.099572,             0.17831,            0.018205,             0.14845,           0.0061256,           0.0061256,           0.0061256
                 100,            0.099574,             0.18889,             0.01652,             0.14608,             0.66431,             0.21949,              0.2201,            0.076622,             0.10198,             0.17991,            0.018143,             0.14937,           0.0060628,           0.0060628,           0.0060628
                 101,             0.10204,             0.17666,            0.015849,             0.14665,             0.62241,             0.24778,             0.24513,            0.089333,             0.10023,             0.17628,             0.01734,             0.14707,               0.006,               0.006,               0.006
                 102,            0.099422,             0.17064,            0.017028,             0.14716,             0.55009,             0.23649,             0.22055,            0.077363,             0.10019,             0.17493,            0.017549,              0.1463,           0.0059372,           0.0059372,           0.0059372
                 103,             0.10031,             0.18438,            0.015029,             0.14399,             0.65699,             0.23959,             0.23895,            0.085601,              0.0988,             0.17921,            0.018734,             0.14411,           0.0058744,           0.0058744,           0.0058744
                 104,            0.099603,             0.18879,             0.01687,             0.14522,             0.58631,             0.26029,             0.25379,            0.090589,            0.099186,             0.17917,            0.017682,             0.14557,           0.0058116,           0.0058116,           0.0058116
                 105,              0.1006,             0.20021,            0.016289,             0.14393,             0.59493,             0.24821,             0.24007,            0.085604,             0.10003,             0.17543,             0.01782,             0.14637,           0.0057488,           0.0057488,           0.0057488
                 106,            0.097584,             0.17085,            0.016941,             0.14381,             0.59414,             0.27011,             0.25737,            0.097799,            0.098216,             0.17555,            0.016227,             0.14494,           0.0056862,           0.0056862,           0.0056862
                 107,            0.099499,             0.18914,            0.017807,             0.14465,             0.59904,             0.22176,             0.22299,            0.080714,            0.099678,             0.17848,            0.016948,             0.14395,           0.0056236,           0.0056236,           0.0056236
                 108,             0.10101,             0.17853,            0.015091,             0.14134,             0.65107,             0.24492,             0.23216,            0.084888,            0.098267,             0.17838,            0.016885,              0.1436,           0.0055611,           0.0055611,           0.0055611
                 109,            0.099806,             0.18233,            0.016749,             0.14316,             0.58634,             0.26121,             0.25247,            0.087904,            0.099335,              0.1804,            0.016702,             0.14277,           0.0054987,           0.0054987,           0.0054987
                 110,            0.099374,             0.18135,            0.016694,             0.14261,             0.65594,             0.25605,             0.25407,             0.10012,            0.098714,             0.17807,            0.016801,             0.14398,           0.0054364,           0.0054364,           0.0054364
                 111,            0.099178,             0.17597,            0.014512,             0.14143,             0.58479,             0.26322,             0.25738,            0.092247,            0.098213,             0.17527,            0.019187,             0.14239,           0.0053743,           0.0053743,           0.0053743
                 112,            0.099263,             0.18225,            0.015303,             0.14092,             0.67101,             0.25508,             0.26291,            0.095968,            0.098482,             0.17678,            0.016949,             0.14215,           0.0053123,           0.0053123,           0.0053123
                 113,            0.098184,             0.18185,            0.014897,             0.13983,             0.68427,             0.25745,              0.2674,            0.098298,            0.098742,               0.177,            0.016091,             0.14201,           0.0052505,           0.0052505,           0.0052505
                 114,                 0.1,             0.17917,            0.013931,             0.14084,             0.61623,             0.25718,             0.25914,             0.10069,            0.097343,              0.1776,             0.01758,             0.14189,           0.0051889,           0.0051889,           0.0051889
                 115,            0.098505,             0.17312,            0.016369,             0.14102,             0.67252,             0.26762,             0.26869,             0.10733,            0.097185,             0.17398,            0.015938,             0.14171,           0.0051274,           0.0051274,           0.0051274
                 116,            0.098838,             0.18381,            0.015123,             0.13952,             0.78205,             0.23272,              0.2584,            0.097126,            0.098111,             0.17485,            0.018678,             0.14138,           0.0050662,           0.0050662,           0.0050662
                 117,            0.099041,             0.20348,            0.014304,             0.13962,             0.67066,             0.21111,             0.22187,            0.075826,             0.10007,             0.18076,            0.016607,             0.13947,           0.0050052,           0.0050052,           0.0050052
                 118,            0.099004,             0.18433,             0.01468,             0.13907,             0.73633,             0.25023,             0.25214,            0.094869,            0.098116,             0.17521,            0.016353,             0.14043,           0.0049445,           0.0049445,           0.0049445
                 119,            0.098567,              0.1814,            0.015908,              0.1394,             0.72273,             0.28649,              0.2812,             0.10504,            0.098211,             0.17691,             0.01639,             0.14047,            0.004884,            0.004884,            0.004884
                 120,             0.10018,             0.18515,            0.014346,             0.13953,             0.69383,             0.29663,             0.28802,             0.11054,            0.096886,             0.17792,             0.01647,             0.13892,           0.0048238,           0.0048238,           0.0048238
                 121,             0.09975,             0.19088,             0.01393,             0.13872,             0.75653,             0.26011,             0.27179,             0.10269,             0.09784,             0.17667,            0.016147,             0.13874,           0.0047639,           0.0047639,           0.0047639
                 122,             0.10133,             0.19611,            0.014619,             0.13922,             0.66593,             0.26937,             0.26096,             0.09994,            0.098357,             0.17583,            0.015445,             0.13877,           0.0047043,           0.0047043,           0.0047043
                 123,            0.095165,             0.17922,            0.014029,             0.13704,             0.68603,             0.27718,             0.29214,             0.11328,            0.097918,             0.17407,            0.014564,             0.13932,            0.004645,            0.004645,            0.004645
                 124,            0.097004,             0.18271,            0.014427,             0.13746,             0.73442,             0.25857,             0.29205,             0.11788,            0.097048,              0.1753,            0.017686,             0.14137,           0.0045861,           0.0045861,           0.0045861
                 125,            0.097801,             0.16618,            0.014165,             0.13704,             0.59842,             0.26111,             0.26179,             0.10323,            0.099306,             0.17444,            0.017208,             0.13961,           0.0045275,           0.0045275,           0.0045275
                 126,            0.096984,             0.17386,            0.013877,             0.13754,              0.5951,             0.27632,             0.26369,             0.10485,            0.097634,             0.17585,            0.015873,             0.13871,           0.0044693,           0.0044693,           0.0044693
                 127,             0.09814,             0.19182,            0.015509,              0.1393,              0.6217,             0.28846,             0.28072,             0.11154,            0.097776,             0.18857,            0.017022,             0.13833,           0.0044114,           0.0044114,           0.0044114
                 128,            0.096738,             0.16421,            0.016006,             0.13741,             0.64234,             0.28706,             0.28919,             0.11806,            0.097673,             0.17794,            0.015858,             0.13878,           0.0043539,           0.0043539,           0.0043539
                 129,            0.099448,             0.19326,            0.013895,             0.13726,             0.60376,              0.2901,              0.2824,              0.1168,            0.095818,             0.17783,            0.015399,             0.13697,           0.0042969,           0.0042969,           0.0042969
                 130,            0.096465,             0.17349,            0.015352,             0.13773,             0.68277,             0.25055,             0.25958,             0.09703,            0.098037,             0.17781,            0.016146,             0.13675,           0.0042402,           0.0042402,           0.0042402
                 131,             0.09851,             0.18385,            0.014224,             0.13743,             0.67878,             0.25773,             0.26812,            0.099526,            0.097641,              0.1761,            0.016181,             0.13734,            0.004184,            0.004184,            0.004184
                 132,            0.097164,             0.15763,            0.015067,             0.13795,             0.60644,              0.2735,             0.27528,             0.10708,            0.096892,             0.17371,            0.015169,             0.13747,           0.0041283,           0.0041283,           0.0041283
                 133,            0.095158,             0.16843,            0.013811,             0.13751,             0.63636,             0.29674,             0.29611,             0.12598,             0.09668,             0.17472,            0.016865,             0.13693,            0.004073,            0.004073,            0.004073
                 134,            0.096645,             0.17156,            0.013272,             0.13502,             0.70684,             0.28891,             0.29726,             0.11891,            0.098087,             0.17271,            0.015632,             0.13705,           0.0040182,           0.0040182,           0.0040182
                 135,            0.098622,             0.18574,            0.013116,              0.1355,             0.71738,             0.28103,             0.30229,             0.12586,            0.096599,             0.17434,            0.014895,             0.13711,           0.0039638,           0.0039638,           0.0039638
                 136,            0.096747,             0.17082,            0.014033,             0.13428,             0.62296,             0.31658,              0.3032,             0.12342,            0.095421,              0.1739,            0.014945,             0.13666,             0.00391,             0.00391,             0.00391
                 137,            0.096798,             0.18723,            0.013856,             0.13586,             0.71364,             0.27189,             0.29004,             0.11634,            0.096185,             0.17659,            0.014973,             0.13608,           0.0038567,           0.0038567,           0.0038567
                 138,            0.097693,             0.17271,            0.013414,             0.13377,             0.71821,             0.27736,             0.29486,             0.12319,             0.09602,             0.17631,            0.015124,             0.13535,           0.0038039,           0.0038039,           0.0038039
                 139,            0.095524,              0.1796,            0.013319,             0.13359,             0.63833,             0.28911,             0.29134,             0.11676,             0.09666,             0.17644,            0.017818,             0.13525,           0.0037517,           0.0037517,           0.0037517
                 140,             0.09972,             0.19951,            0.013333,             0.13406,             0.66851,             0.28564,             0.29394,             0.12599,            0.097163,             0.17317,             0.01619,             0.13597,              0.0037,              0.0037,              0.0037
                 141,            0.096531,             0.18877,            0.013898,             0.13391,             0.80312,             0.26885,             0.29672,             0.11961,            0.096147,             0.17386,            0.015654,             0.13425,           0.0036489,           0.0036489,           0.0036489
                 142,            0.094141,             0.16511,            0.013727,             0.13364,             0.64656,              0.2725,             0.29596,             0.12186,            0.095951,             0.17683,            0.015339,             0.13393,           0.0035983,           0.0035983,           0.0035983
                 143,            0.096182,             0.18146,             0.01298,             0.13392,             0.52377,             0.31382,             0.29453,             0.12085,            0.096933,             0.17503,            0.015842,             0.13322,           0.0035484,           0.0035484,           0.0035484
                 144,            0.095824,              0.1677,            0.013728,             0.13304,             0.61539,             0.28484,             0.28289,             0.12061,            0.096476,             0.17587,            0.017292,             0.13535,            0.003499,            0.003499,            0.003499
                 145,            0.095387,             0.18111,            0.012605,             0.13291,              0.7002,             0.28761,              0.2874,             0.11609,            0.095899,             0.17656,            0.015435,              0.1335,           0.0034503,           0.0034503,           0.0034503
                 146,            0.095402,             0.17229,            0.013411,             0.13445,             0.74172,             0.28878,             0.30129,             0.12504,            0.095888,             0.17773,            0.015781,             0.13336,           0.0034022,           0.0034022,           0.0034022
                 147,            0.094463,             0.18157,            0.013078,             0.13191,             0.70092,             0.30426,             0.30461,             0.12176,            0.095625,             0.17683,            0.015735,             0.13308,           0.0033548,           0.0033548,           0.0033548
                 148,            0.095712,             0.17976,            0.012868,             0.13238,             0.62386,             0.29151,             0.29147,              0.1189,            0.096055,             0.17921,            0.017062,               0.133,           0.0033079,           0.0033079,           0.0033079
                 149,            0.096274,             0.17497,            0.013801,             0.13244,             0.69106,             0.28518,             0.29662,             0.12892,            0.095813,             0.17549,             0.01579,             0.13302,           0.0032618,           0.0032618,           0.0032618
                 150,            0.094537,             0.17877,              0.0123,             0.13083,             0.69623,             0.28708,             0.30013,             0.12211,             0.09563,             0.17652,            0.016174,             0.13327,           0.0032163,           0.0032163,           0.0032163
                 151,            0.096278,             0.17422,            0.013878,             0.13332,             0.69705,             0.28623,              0.2898,             0.10702,            0.096455,             0.17723,            0.014803,             0.13342,           0.0031716,           0.0031716,           0.0031716
                 152,            0.096372,             0.17885,            0.013281,             0.13212,             0.63587,             0.29553,             0.31325,             0.12386,            0.095681,             0.17539,            0.014379,             0.13296,           0.0031275,           0.0031275,           0.0031275
                 153,            0.096794,             0.17844,            0.013155,             0.13185,             0.78437,             0.26629,             0.30245,              0.1248,            0.096461,             0.17494,            0.015006,             0.13273,           0.0030841,           0.0030841,           0.0030841
                 154,            0.095996,             0.18154,            0.011833,             0.12919,              0.6345,              0.2872,              0.2958,             0.12549,            0.095409,             0.17503,            0.016204,             0.13243,           0.0030415,           0.0030415,           0.0030415
                 155,            0.096088,             0.17842,            0.011853,             0.13089,             0.72139,             0.27197,             0.30044,             0.13024,            0.096291,             0.17367,            0.014561,             0.13174,           0.0029996,           0.0029996,           0.0029996
                 156,            0.095608,             0.16773,            0.012687,             0.13281,             0.72238,             0.27971,             0.31368,             0.13386,            0.094921,             0.17429,             0.01478,              0.1319,           0.0029584,           0.0029584,           0.0029584
                 157,              0.0939,             0.16678,            0.012629,             0.13061,             0.74944,             0.27388,             0.30972,             0.13003,            0.095303,             0.17356,            0.014614,             0.13202,           0.0029179,           0.0029179,           0.0029179
                 158,            0.093812,             0.18294,            0.012118,             0.12992,             0.70363,             0.29926,             0.31236,             0.13175,            0.095642,             0.17361,            0.014945,             0.13209,           0.0028783,           0.0028783,           0.0028783
                 159,            0.093585,             0.17236,            0.012791,             0.12849,             0.80033,             0.29371,             0.31635,             0.13874,            0.094482,              0.1732,            0.014305,             0.13159,           0.0028394,           0.0028394,           0.0028394
                 160,             0.09212,             0.15892,            0.013314,             0.13219,             0.71452,             0.29093,             0.30957,             0.13354,            0.095069,             0.17548,            0.015171,             0.13174,           0.0028013,           0.0028013,           0.0028013
                 161,            0.092828,             0.18133,            0.013318,             0.13123,             0.72427,             0.29542,             0.31102,             0.13618,            0.095649,             0.17563,            0.015171,             0.13174,           0.0027639,           0.0027639,           0.0027639
                 162,            0.094894,             0.18053,            0.012011,             0.12949,             0.72953,             0.28951,             0.31595,             0.13793,            0.094555,             0.17475,            0.014445,             0.13117,           0.0027274,           0.0027274,           0.0027274
                 163,            0.093353,             0.17493,            0.012117,             0.12989,             0.72435,             0.28498,             0.30521,              0.1346,            0.095108,             0.17528,            0.015631,             0.13165,           0.0026917,           0.0026917,           0.0026917
                 164,             0.09498,             0.18052,            0.011833,              0.1283,             0.78745,             0.28034,              0.3106,             0.13917,            0.094393,             0.17416,            0.015633,             0.13149,           0.0026568,           0.0026568,           0.0026568
                 165,             0.09585,             0.18056,            0.011553,             0.12957,             0.69868,             0.31406,             0.31533,             0.13244,            0.094696,             0.17567,            0.015706,             0.13082,           0.0026227,           0.0026227,           0.0026227
                 166,            0.092182,             0.16791,            0.012232,             0.12872,             0.57671,             0.32519,             0.31595,             0.13424,            0.095225,             0.17299,            0.014668,             0.13087,           0.0025894,           0.0025894,           0.0025894
                 167,            0.095212,             0.17573,            0.011671,             0.12826,             0.72408,             0.28997,             0.30553,             0.13621,            0.094993,             0.17388,            0.015043,             0.13101,            0.002557,            0.002557,            0.002557
                 168,            0.093158,             0.16475,            0.012917,             0.13006,             0.55876,             0.33333,             0.31201,             0.13286,            0.094884,             0.17458,            0.015496,             0.13061,           0.0025255,           0.0025255,           0.0025255
                 169,            0.095213,             0.16397,            0.012509,             0.12867,             0.72148,             0.29234,             0.30619,             0.12904,            0.095358,              0.1775,            0.015242,             0.13116,           0.0024948,           0.0024948,           0.0024948
                 170,            0.094462,             0.17379,            0.011927,             0.12906,             0.67515,             0.29243,             0.30845,             0.13247,            0.094432,             0.17424,             0.01438,             0.13103,           0.0024649,           0.0024649,           0.0024649
                 171,            0.094406,             0.18514,              0.0116,             0.12874,             0.78629,             0.29555,             0.31043,             0.13282,            0.094667,             0.17341,            0.014957,             0.13115,            0.002436,            0.002436,            0.002436
                 172,            0.095622,             0.18107,            0.011925,              0.1282,             0.70906,             0.32086,             0.32383,             0.13863,            0.095092,              0.1745,             0.01474,             0.13082,           0.0024079,           0.0024079,           0.0024079
                 173,            0.095058,             0.16485,            0.012322,             0.13051,             0.67314,             0.32492,             0.30977,              0.1308,            0.094826,             0.17399,            0.014527,             0.13132,           0.0023807,           0.0023807,           0.0023807
                 174,            0.095706,              0.1858,            0.011549,             0.12843,             0.63925,             0.32465,             0.32627,             0.14193,            0.094481,              0.1751,            0.013983,             0.13142,           0.0023544,           0.0023544,           0.0023544
                 175,            0.094101,             0.16621,            0.010869,             0.12815,             0.70407,             0.30157,             0.31789,             0.13689,             0.09512,             0.17376,             0.01392,             0.13153,            0.002329,            0.002329,            0.002329
                 176,            0.093448,             0.17443,            0.012347,             0.12836,             0.78007,             0.30136,             0.32055,             0.13395,            0.094878,             0.17494,            0.014169,             0.13048,           0.0023045,           0.0023045,           0.0023045
                 177,            0.093514,             0.16787,            0.013197,              0.1291,             0.69371,             0.31772,             0.31404,             0.12832,            0.094189,             0.17739,            0.015342,             0.13037,           0.0022809,           0.0022809,           0.0022809
                 178,            0.092846,              0.1637,            0.012155,             0.12783,             0.64601,             0.32222,             0.31552,             0.13873,            0.094294,             0.17395,            0.014559,             0.13016,           0.0022582,           0.0022582,           0.0022582
                 179,            0.092899,             0.16707,            0.012494,             0.12758,             0.63903,             0.32454,             0.32474,             0.13953,            0.094549,             0.17593,            0.014257,             0.13078,           0.0022365,           0.0022365,           0.0022365
                 180,            0.092584,             0.16493,             0.01296,             0.12901,             0.72547,              0.3002,             0.31536,             0.13729,            0.094343,             0.17567,            0.015171,             0.13012,           0.0022157,           0.0022157,           0.0022157
                 181,            0.094987,             0.18026,            0.012265,             0.13128,             0.72174,             0.32651,             0.32146,             0.14434,            0.093921,             0.17538,            0.015288,             0.12999,           0.0021958,           0.0021958,           0.0021958
                 182,            0.094601,             0.16333,            0.011531,             0.12817,             0.67047,             0.33346,             0.33023,             0.14361,            0.095878,             0.17303,            0.014646,             0.13006,           0.0021768,           0.0021768,           0.0021768
                 183,            0.093783,             0.16856,            0.011217,             0.12555,             0.63322,             0.34416,             0.32193,             0.14186,            0.094307,             0.17465,            0.014739,             0.12966,           0.0021588,           0.0021588,           0.0021588
                 184,            0.094596,             0.17806,            0.011625,             0.12729,              0.7457,             0.33106,             0.32443,             0.13869,            0.094134,             0.17345,            0.014305,             0.12926,           0.0021418,           0.0021418,           0.0021418
                 185,            0.094138,             0.18101,             0.01035,             0.12735,             0.67774,              0.3437,             0.32848,             0.14236,            0.093699,             0.17382,            0.013811,             0.12926,           0.0021257,           0.0021257,           0.0021257
                 186,            0.092294,             0.17254,            0.010635,             0.12623,             0.75934,             0.31266,              0.3066,              0.1343,            0.094247,              0.1761,            0.015313,             0.12912,           0.0021105,           0.0021105,           0.0021105
                 187,            0.093274,             0.17299,            0.010958,             0.12703,             0.63243,             0.33224,             0.31526,             0.13629,             0.09432,              0.1749,            0.015361,             0.12928,           0.0020963,           0.0020963,           0.0020963
                 188,            0.095175,             0.17831,            0.010207,              0.1245,             0.64158,             0.33255,             0.31561,             0.13719,            0.093429,             0.17498,             0.01462,             0.12859,           0.0020831,           0.0020831,           0.0020831
                 189,            0.095861,             0.17008,            0.012132,             0.12702,             0.67889,             0.32407,             0.31882,             0.13629,            0.094615,             0.17385,            0.013723,             0.12897,           0.0020709,           0.0020709,           0.0020709
                 190,            0.094531,             0.16644,             0.01229,             0.12576,             0.70675,             0.33591,             0.32987,             0.14754,            0.093921,             0.17475,            0.014018,             0.12927,           0.0020596,           0.0020596,           0.0020596
                 191,            0.089932,             0.16107,            0.011185,             0.12719,             0.76128,             0.30537,             0.31599,             0.13686,            0.094082,             0.17525,            0.014553,             0.12948,           0.0020492,           0.0020492,           0.0020492
                 192,            0.091799,              0.1601,            0.011496,             0.12591,             0.74398,             0.32143,             0.32719,             0.14495,            0.093572,             0.17411,            0.014048,             0.12975,           0.0020399,           0.0020399,           0.0020399
                 193,            0.093632,             0.17935,            0.011773,             0.12596,             0.67283,             0.34172,             0.32883,             0.14418,            0.094084,             0.17464,            0.014655,             0.12853,           0.0020315,           0.0020315,           0.0020315
                 194,            0.091648,             0.16823,            0.013342,             0.12726,             0.71944,             0.30548,             0.32962,             0.14167,            0.094088,             0.17494,            0.014786,             0.12895,           0.0020242,           0.0020242,           0.0020242
                 195,            0.091875,             0.16593,            0.012861,             0.12762,             0.78876,              0.2896,             0.31793,             0.13665,            0.094418,             0.17465,            0.015246,             0.12914,           0.0020178,           0.0020178,           0.0020178
                 196,            0.094072,             0.16265,             0.01152,             0.12646,             0.63603,             0.33866,             0.32888,             0.14008,            0.094094,             0.17493,            0.014261,             0.12865,           0.0020123,           0.0020123,           0.0020123
                 197,            0.092172,              0.1711,            0.011877,             0.12574,             0.63758,             0.34556,             0.32964,             0.14044,            0.094046,             0.17317,            0.013787,             0.12921,           0.0020079,           0.0020079,           0.0020079
                 198,            0.092283,             0.17428,            0.010728,             0.12556,             0.79323,             0.30097,             0.33206,             0.13963,            0.093729,             0.17358,            0.013865,             0.12877,           0.0020044,           0.0020044,           0.0020044
                 199,            0.091977,             0.17211,            0.012138,             0.12837,             0.62916,             0.35863,             0.33951,             0.15116,            0.093671,             0.17478,            0.014269,             0.12864,            0.002002,            0.002002,            0.002002
